က	ka̰
ဘုန်းဘုန်း	pʰóʊɴpʰóʊɴ
ဘုမ္မစိုး	bòʊɴməzó
ဘုရင်	bəjɪ̀ɴ
ဘုရင်ခံ	ba̰jɪ̀ɴgàɴ
ဘုရင်မ	ba̰jɪ̀ɴma̰
ဘုရင်မင်းမြတ်	bəjɪ̀ɴmɪ́ɴmjaʔ
ဘုရား	pʰəjá
ဘုရားကိုးဆူ	pʰəjákósʰù
ဘုရားကျောင်း	pʰəjádʑáʊɴ
ဘုရားရှိခိုးကျောင်း	pʰəjáʃḭkʰódʑáʊɴ
ဘုရားလောင်း	pʰəjáláʊɴ
ဘုရားအလောင်း	pʰəjáʔəláʊɴ
ဘုံကျောင်း	bòʊɴdʑáʊɴ
ဘုံပိုင်	bòʊɴbàɪɴ
ဘူ	bù
ဘူဂေးရီးယား	bùgéɹíjá
ဘူတန်	bùtàɴ
ဘူတာ	bùdà
ဘူတာရုံ	bùdàjòʊɴ
ဘူမိဗေဒ	bùmḭbèda̰
ဘူမိရူပဗေဒ	bùmḭjùpa̰bèda̰
ဘူရွန်ဒီ	bùɹʊ̀ɴdì
ဘူး	bú
ဘူးဆို့	búzo̰
ဘူးသီး	búθí
ဘူးသီးတောင်	búðídàʊɴ
ဘေရွတ်	bèɹʊʔ
ဘော	bɔ́
ဘောက်ဆူး	baʊʔsʰú
ဘောဂဗေဒ	bɔ́ga̰ta̰bèda̰
ဘောင်းဘီ	báʊɴbì
ဘောပင်	bɔ́pɪ̀ɴ
ဘောပြား	bɔ́pjá
ဘောပွဲ	bɔ́pwɛ́
ဘောမ	bɔ́ma̰
ဘောလုံး	bɔ́lóʊɴ
ဘော့ဆွာနာ	bɔ̰sʰwànà
ဘော်ဒါ	bɔ̀dà
ဘော်ဒါကြေး	bɔ̀dàtɕé
ဘော်လီဘော	bɔ̀lìbɔ́
ဘေ့စ်ဘော	bḛsbɔ́
ဘေး	bé
ဘေးဆိုး	bézó
ဘေးဆီးရန်ကာ	bézíjàɴgà
ဘေးဘယာ	bébəjà
ဘဲ	bɛ́
ဘဲလေး	bɛ́lé
ဘဲလ်ဂရိတ်	bɛ́lgəɹeɪʔ
ဘဲ့	bɛ̰
ဘွား	bwá
ဘွားဘွား	pʰwápʰwá
ဘွိုင်လာ	bwàɪɴlà
ဘွဲ့	bwɛ̰
ဘွဲ့ချဉ်	bwɛ̰dʑɪ̀ɴ
မ	ma̰
မ	mə
မကန်း	məgáɴ
မကရ	məkəɹa̰
မကိုဋ်	məgaɪʔ
မကုဋ	məkṵta̰
မကောင်းမှု	məkáʊɴm̥ṵ
မက္ကဆီကို	mɛʔkəsʰìkò
မက်	mɛʔ
မက်စီဒိုးနီးယား	mɛʔsìdóníjá
မက်မန်း	mɛʔmáɴ
မက်မွန်	mɛʔmʊ̀ɴ
မကြာမတင်	mətɕàmətɪ̀ɴ
မကွေး	məgwé
မချစ်စု	ma̰tɕʰɪʔsṵ
မဂဓ	məgəda̰
မဂ္ဂင်ရှစ်ပါး	mɛʔgɪ̀ɴʃɪʔbá
မဂ္ဂဇင်း	mɛʔga̰zɪ̀ɴ
မင့်စ်	mɪ̰ɴs
မင်	m̥ɪ̀ɴ
မင်း	mɪ́ɴ
မင်းကြီး	mɪ́ɴdʑí
မင်းကွတ်	mɪ́ɴgʊʔ
မင်းဆက်	mɪ́ɴzɛʔ
မင်းတရား	mɪ́ɴtəjá
မင်းတရားကြီး	mɪ́ɴtəjádʑí
မင်းဘူး	mɪ́ɴbú
မင်းမဲ့စရိုက်	mɪ́ɴmɛ̰zəjaɪʔ
မင်းမြောက်တန်ဆာ	mɪ́ɴmjaʊʔdəzà
မင်းရဲကျော်ထင်	mɪ́ɴjɛ́tɕɔ̀tʰɪ̀ɴ
မင်းသမီး	mɪ́ɴðəmí
မင်းသား	mɪ́ɴðá
မင်္ဂလ	mɪ̀ɴgəla̰
မင်္ဂလဘုရား	mɪ̀ɴgəla̰pʰəjá
မင်္ဂလသုတ်	mɪ̀ɴgəla̰θoʊʔ
မင်္ဂလာ	mɪ̀ɴgəlà
မင်္ဂလာဆောင်	mɪ̀ɴgəlàsʰàʊɴ
မင်္ဂလာပါ	mɪ̀ɴgəlàbà
မစင်	ma̰sɪ̀ɴ
မစင်စွန့်	məsɪ̀ɴsʊ̰ɴ
မဆလာ	ma̰sʰəlà
မဇ္ဈဒေသ	mɪʔza̰dèθa̰
မဉ္ဇူ	mjɪ̀ɴzù
မည်	mjì
မည်စည်	mɛ̀zɛ̀
မည်သည်	mìðì
မည်သူ	mìðù
မည်း	mɛ́
မဏိ	mənḭ
မဏိတော်	mənḭdɔ̀
မဏိပူရ	mənḭpùɹa̰
မဏိမေခလာ	mənḭmèkʰəlà
မဏိဩဂ	mənḭʔɔ́ga̰
မဏ္ဍပ်	máɴdaʔ
မဏ္ဍိုင်	màɴdàɪɴ
မတကဘတ်	mətəka̰baʔ
မတော်တဆ	mətɔ̀təsʰa̰
မတော်တဆမှု	mətɔ̀təsʰa̰m̥ṵ
မတ်	maʔ
မတ်ခွက်	maʔkʰwɛʔ
မတ်စကတ်	maʔsəkaʔ
မတ်စေ့	maʔsḭ
မတ်ပဲ	maʔpɛ́
မတ်မတ်	maʔmaʔ
မထော်မနန်း	ma̰tʰɔ̀ma̰náɴ
မဒရစ်	ma̰dəɹɪʔ
မဒါဂတ်စကား	ma̰dàgaʔsəká
မနက်	mənɛʔ
မနက်ဖြန်	mənɛʔpʰjàɴ
မနီလာ	ma̰nìlà
မနုပ်တာနီ	mənoʊʔtànì
မနုဿ	ma̰noʊʔθa̰
မနုဿဗေဒ	mənoʊʔθa̰bèda̰
မနုဿီဟ	mənoʊʔθìha̰
မနော	mənɔ́
မနောကံ	mənɔ́gàɴ
မနေ့က	mənḛga̰
မန္တန်	màɴdàɴ
မန္တလေး	màɴdəlé
မန်ကျည်း	mədʑí
မန်နေဂျာ	màɴnèdʑà
မန်း	máɴ
မနှစ်	mən̥ɪʔ
မမ	ma̰ma̰
မယား	məjá
မယ်	mɛ̀
မယ်ဇယ်	mɛ̀zɛ̀
မယ်ဇလီ	mɛ̀zəlì
မယ်တော်	mɛ̀dɔ̀
မယ်သီတာ	mɛ̀θìdà
မယ်သီလ	mɛ̀ðìla̰
မရဏ	məɹəna̰
မရန်း	məjáɴ
မရမန်	məɹəmàɴ
မရမာ	məɹəmà
မရမာကြီး	məɹəmàdʑí
မရီး	məjí
မရွေး	məjwé
မလိုင်	ma̰làɪɴ
မလိုင်လုံး	məlàɪɴlóʊɴ
မလုပ်တာနီ	məloʊʔtànì
မလေး	məlé
မလေးရှား	məléʃá
မလ္လိကာ	màɴlḭkà
မသာ	məθà
မသိပါဘူး	ma̰θḭbàbú
မသိဘူး	ma̰θḭbú
မဟာ	ma̰hà
မဟာကစ္စည်း	məhàkɪʔsí
မဟာကထာန	məhàkətʰàna̰
မဟာကဿပ	məhàkaʔθəpa̰
မဟာဂီတ	məhàgìta̰
မဟာဇနပဒ	məhàzəna̰pəda̰
မဟာဒုတ်	məhàdoʊʔ
မဟာဒေဝီ	məhàdèwì
မဟာပညာဗလ	məhàpjɪ̀ɴɲàbəla̰
မဟာပိန္နဲ	məhàpèɪɴnɛ́
မဟာဗျူဟာ	məhàbjùhà
မဟာဘာရတ	məhàbàɹəta̰
မဟာဘုတ်	məhàboʊʔ
မဟာဘွဲ့	məhàbwɛ̰
မဟာမင်းကြီး	məhàmɪ́ɴdʑí
မဟာမိတ်	məhàmeɪʔ
မဟာမောဂ္ဂလာန်	məhàmaʊʔgəlàɴ
မဟာယာန	məhàjàna̰
မဟာရဋ္ဌ	məhàjətʰa̰
မဟာလတာ	məhàlətà
မဟာဝင်	məhàwɪ̀ɴ
မဟာဝိဇ္ဇာဘွဲ့	məhàweɪʔzàbwɛ̰
မဟာသာဝက	məhàθàwəka̰
မဟာသိပ္ပံဘွဲ့	məhàθeɪʔpàɴbwɛ̰
မဟေ	məhè
မဟေသီ	məhèθì
မအလ	ma̰ʔa̰la̰
မအေလိုး	məʔèló
မာ	mà
မာကျောက်	màtɕaʊʔ
မာစကတ်	màsəkaʔ
မာတာ	màtà
မာတာပိတု	màtàpḭtṵ
မာတိကာ	màtḭkà
မာနာမာ	mànàmà
မာန်	màn
မာန်အောင်	mànʔàʊɴ
မာယာ	màjà
မာရ်	mà
မာရ်နတ်	mànaʔ
မာလကာ	màləkà
မာလကာသီး	màləkàθí
မာလဝီ	màla̰wì
မာလာ	màlà
မာလာဖူး	màlàpʰú
မာလာရှမ်းကော	màlàʃáɴkɔ́
မာလာဟင်း	màlàhɪ́ɴ
မာလိန်	màlèɪɴ
မာလီ	màlì
မာသ	màθa̰
မိ	mḭ
မိကောင်းဖခင်	mḭgáʊɴpʰa̰kʰɪ̀ɴ
မိကျောင်း	mḭdʑáʊɴ
မိခင်	mḭgɪ̀ɴ
မိငယ်	mḭŋɛ̀
မိစ္ဆာ	meɪʔzà
မိညော်	mḭɲɔ̀
မိတ္တူ	meɪʔtù
မိတ္ထီလာ	meɪʔtʰìlà
မိတ်	meɪʔ
မိတ်ကပ်	meɪʔkaʔ
မိတ်ဆွေ	meɪʔsʰwè
မိထွေး	mḭdwé
မိနစ်	mḭnɪʔ
မိန့်	mḛɪɴ
မိန့်တော်မူ	mḛɪɴdɔ̀mù
မိန်	mèɪɴ
မိန်းကလေး	méɪɴgəlé
မိန်းမ	méɪɴma̰
မိန်းမလျာ	méɪɴməʃà
မိဖုရား	mḭbəjá
မိဘ	mḭba̰
မိဘပြည်သူများ	mḭba̰pjìðùmjá
မိဘမဲ့	mḭba̰mɛ̰
မိဘမဲ့ဂေဟာ	mḭba̰mɛ̰gèhà
မိမိ	mḭmḭ
မိသားစု	mḭðázṵ
မိုက်	maɪʔ
မိုက်ကယ်	maɪʔkɛ̀
မိုဂါဒစ်ရှူး	mògàdɪʔʃú
မိုင်	màɪɴ
မိုင်လို	màɪɴlò
မိုင်း	máɪɴ
မိုဇမ်ဘစ်	mòzàɴbɪʔ
မိုတယ်	mòtɛ̀
မိုနာကို	mònàkò
မိုနို	mònò
မိုဘိုင်းလ်ဖုန်း	mòbáɪɴpʰóʊɴ
မိုး	mó
မိုးကာအင်္ကျီ	mógàʔɪ̀ɴdʑì
မိုးကုတ်	mógoʊʔ
မိုးကုပ်စက်ဝိုင်း	mógoʊʔsɛʔwáɪɴ
မိုးကြိုး	módʑó
မိုးခေါ်	mókʰɔ̀
မိုးထ	mótʰa̰
မိုးရာသီ	mójàðì
မိုးလေဝသ	mólèwəθa̰
မိုးသီး	móðí
မိုးသောက်	móθaʊʔ
မိုးသောက်ယံ	móθaʊʔjàɴ
မိဿ	meɪʔθa̰
မီတာ	mìtà
မီဒီယာ	mìdìjà
မီနူး	mìnú
မီလီဂရမ်	mìlìgəɹàɴ
မီလီမီတာ	mìlìmìtà
မီလီလီတာ	mìlìlìtà
မီး	mí
မီးခတ်	míkʰaʔ
မီးခတ်	mígaʔ
မီးခိုး	mígó
မီးခိုးရောင်	mígójàʊɴ
မီးခေါင်း	mígáʊɴ
မီးခံသေတ္တာ	mígàɴθɪʔtà
မီးခြစ်	mídʑɪʔ
မီးခွက်	mígwɛʔ
မီးစက်	mísɛʔ
မီးတိုင်	mídàɪɴ
မီးတုတ်	mídoʊʔ
မီးတောင်	mídàʊɴ
မီးပဒေသာ	míbədèθà
မီးပန်း	míbáɴ
မီးပလွေ	mípəlwè
မီးပုံး	míbóʊɴ
မီးပုံးပျံ	míbóʊɴbjàɴ
မီးပူ	míbù
မီးပြတိုက်	míbja̰daɪʔ
မီးပြောင်း	míbjáʊɴ
မီးပွား	míbwá
မီးပွိုင့်	mípwa̰ɪɴ
မီးဖို	míbò
မီးဖို	mípʰò
မီးဖိုချောင်	míbòdʑàʊɴ
မီးဖွားခွင့်	mípʰwákʰwɪ̰ɴ
မီးယပ်	míjaʔ
မီးယပ်ပညာ	míjaʔpjɪ̀ɴɲà
မီးယပ်ရောဂါ	míjaʔjɔ́gà
မီးရထား	míjətʰá
မီးရထားတွဲ	míjətʰádwɛ́
မီးရှူးမီးပန်း	míʃúmíbáɴ
မီးလင်းဖို	mílɪ́ɴbò
မီးသင်္ဘော	míθɪ̀ɴbɔ́
မီးသတ်	míθaʔ
မီးသတ်ကား	míθaʔká
မီးသီး	míθí
မီးသုံးပါး	míθóʊɴbá
မီးသွေး	míðwé
မီးအိမ်	míʔèɪɴ
မုခ်	moʊʔ
မုချ	moʊʔtɕʰa̰
မုစလိန္ဒ	mṵsəlèɪɴda̰
မုဆိုး	moʊʔsʰò
မုဆိုးဖို	mṵsʰóbò
မုဆိုးမ	mṵsʰóma̰
မုတ္ထမ	moʊʔtəma̰
မုတ်ခွံ	moʊʔkʰʊ̀ɴ
မုတ်ဆိတ်	moʊʔsʰeɪʔ
မုဒိမ်း	mədéɪɴ
မုဒိမ်း	mṵdéɪɴ
မုဒ္ဓဇ	mùddəza̰
မုဒြာ	mṵdɹà
မုနိ	mṵnḭ
မုန့်	mo̰ʊɴ
မုန့်ကျွဲသည်း	mo̰ʊɴtɕwɛ́ðɛ́
မုန့်ကြာခွက်	mo̰ʊɴtɕàgwɛʔ
မုန့်ကွမ်းယာ	mo̰ʊɴkʊ́ɴjà
မုန့်ခဲဘွယ်	mo̰ʊɴkʰɛ́bwɛ̀
မုန့်စကြာ	mo̰ʊɴsɛʔtɕà
မုန့်စလင်းထောင်	mo̰ʊɴsəlɪ́ɴdàʊɴ
မုန့်ညက်	mo̰ʊɴɲɛʔ
မုန့်တိုဇံ	mo̰ʊɴtòzàɴ
မုန့်တီ	mo̰ʊɴtì
မုန့်ဖော်ခွက်	mo̰ʊɴpʰɔ̀gwɛʔ
မုန့်လက်ကောက်	mo̰ʊɴlɛʔkaʊʔ
မုန့်လက်ဆောင်း	mo̰ʊɴlɛʔsʰáʊɴ
မုန့်လင်မယား	mo̰ʊɴlɪ̀ɴməjá
မုန့်လုံးရေပေါ်	mo̰ʊɴlóʊɴjèbɔ̀
မုန့်ဟင်းခါး	mo̰ʊɴhɪ́ɴgá
မုန့်အုပ်ကလေး	mo̰ʊɴʔoʊʔgəlé
မုန့်ဦးနှောက်	mo̰ʊɴʔóʊɴðí
မုန်ညင်း	mòʊɴɲɪ́ɴ
မုန်ညင်းဆီ	mòʊɴɲɪ́ɴsʰì
မုန်ညင်းဖြူ	mòʊɴɲɪ́ɴpʰjù
မုန်ညှင်းဖြူ	mòʊɴɲ̊ɪ́ɴbjù
မုန်တိုင်း	m̥òʊɴdáɪɴ
မုန်လာ	mòʊɴlà
မုန်လာခဲ	mòʊɴlàkʰɛ́
မုန်လာထုပ်	mòʊɴlàdoʊʔ
မုန်လာဥ	mòʊɴlàʔṵ
မုန်လာဥနီ	mòʊɴlàʔṵnì
မုန်လာဥဝါ	mòʊɴlàʔṵwà
မုန်း	móʊɴ
မုရား	məjá
မုသား	mṵðá
မုံ	mòʊɴ
မုံရွာ	mòʊɴjwà
မူကြို	mùdʑò
မူကြိုကျောင်း	mùdʑòdʑáʊɴ
မူလ	mùla̰
မူလတန်း	mùla̰táɴ
မူလတန်းကြိုကျောင်း	mùla̰dáɴdʑòdʑáʊɴ
မူလဘာသာ	mùla̰bàθà
မူလီ	mùlì
မူး	mú
မေ	mè
မေကြီး	mèdʑí
မေဃာလယ	mègàləja̰
မေတ္တာ	mjɪʔtà
မေတ္တေယျ	mjɪʔtèja̰
မေထုန်	mètʰòʊɴ
မေဓင်္ကရာ	mèdɪ̀ɴkəɹà
မေဓင်္ကရာဘုရား	mèdɪ̀ɴkəɹàpʰəjá
မေမေ	mèmè
မော	mɔ́
မောက်ချ	maʊʔtɕʰa̰
မောက်ချိုက်	maʊʔtɕʰaɪʔ
မောင်	màʊɴ
မောင်တော	màʊɴtɔ́
မောင်နှမ	màʊɴn̥əma̰
မောင်မခေါ်ပဲ	màʊɴməkʰɔ̀pɛ́
မောင်မယ်	màʊɴmɛ̀
မောင်မယ်သစ်လွင်	màʊɴmɛ̀θɪʔlwɪ̀ɴ
မောင်း	máʊɴ
မောင်းမမိဿံ	máʊɴma̰meɪʔθàɴ
မောရစ်ရှ	mɔ́ɹɪʔʃa̰
မော်စကို	mɔ̀səkò
မော်ဇာ	mɔ̀zà
မော်တော်	mɔ̀tɔ̀
မော်တော်ကား	mɔ̀tɔ̀ká
မော်တော်ဆိုင်ကယ်	mɔ̀tɔ̀sʰàɪɴkɛ̀
မော်တော်ပီကေ	mɔ̀tɔ̀pìkè
မော်တော်ဘုတ်	mɔ̀tɔ̀boʊʔ
မော်တော်ယာဉ်	mɔ̀tɔ̀jɪ̀ɴ
မော်နီတာ	mɔ̀nìtà
မော်ရိုကို	mɔ̀ɹòkò
မော်ရီတေးနီးယား	mɔ̀ɹìténíjá
မော်လတာ	mɔ̀lətà
မော်လဒိုက်	mɔ̀lədaɪʔ
မော်လမြိုင်	mɔ̀ləmjàɪɴ
မော်လီကျူး	mɔ̀lìtɕú
မော်လ်ဒိုဗာ	mɔ̀ldòbà
မေ့	mḛ
မေး	mé
မေးခိုင်ရောဂါ	mékʰàɪɴjɔ́gà
မေးခွန်း	mégʊ́ɴ
မေးစေ့	mézḭ
မဲ	mɛ́
မဲခေါင်မြစ်	mɛ́kʰàʊɴmjɪʔ
မဲဆန္ဒ	mɛ́sʰàɴda̰
မဲဆန္ဒနယ်	mɛ́sʰàɴda̰nɛ̀
မဲဆန္ဒရှင်	mɛ́sʰàɴda̰ʃɪ̀ɴ
မဲဆောက်	mɛ́sʰaʊʔ
မဲဇလီ	mɛ́zəlì
မဲပေး	mɛ́pé
မံ	màɴ
မံသ	màɴθa̰
မျက်ခုံး	mjɛʔkʰóʊɴ
မျက်ခွံ	mjɛʔkʰʊ̀ɴ
မျက်စိ	mjɛʔsḭ
မျက်တောင်	mjɛʔtàʊɴ
မျက်တော်မူ	mjɛʔdɔ̀mù
မျက်နှာ	mjɛʔn̥à
မျက်နှာကြက်	mjɛʔn̥àdʑɛʔ
မျက်နှာဖုံး	mjɛʔn̥əpʰóʊɴ
မျက်နှာသုတ်ပဝါ	mjɛʔn̥àθoʊʔpa̰wà
မျက်ပါး	mjɛʔpá
မျက်မှန်	mjɛʔm̥àɴ
မျက်ရည်	mjɛʔjè
မျက်လုံး	mjɛʔlóʊɴ
မျက်လွှာ	mjɛʔl̥wà
မျက်လှည့်	mjɛʔl̥ɛ̰
မျက်လှည့်ဆရာ	mjɛʔl̥ɛ̰sʰəjà
မျဉ်း	mjɪ́ɴ
မျည်းတံ	mjídàɴ
များ	mjá
များများ	mjámjá
မျို	mjò
မျိုး	mjó
မျိုးချစ်	mjótɕʰɪʔ
မျိုးချစ်စိတ်	mjótɕʰɪʔseɪʔ
မျိုးခွဲပညာ	mjógwɛ́pjɪ̀ɴɲà
မျိုးစဉ်	mjózɪ̀ɴ
မျိုးစိတ်	mjózeɪʔ
မျိုးစု	mjózṵ
မျိုးဆက်	mjózɛʔ
မျိုးပေါင်း	mjóbáʊɴ
မျိုးပေါင်းစု	mjóbáʊɴzṵ
မျိုးရင်း	mjójɪ́ɴ
မျိုးရိုး	mjójó
မျိုးရိုးပညာ	mjójópjɪ̀ɴɲà
မျိုးဥအိမ်	mjóʔṵʔèɪɴ
မျော	mjɔ́
မျောက်	mjaʊʔ
မျောက်ချော	mjaʊʔtɕʰɔ́
မျောက်လုတ်	mjaʊʔloʊʔ
မျောက်လောင်း	mjaʊʔláʊɴ
မျှင်	m̥jɪ̀ɴ
မျှစ်	m̥jɪʔ
မျှို့	m̥jo̰
မျှော	m̥jɔ́
မျှော့	m̥jɔ̰
မျှော်	m̥jɔ̀
မျှော်စင်	m̥jɔ̀zɪ̀ɴ
မျှော်လင့်	m̥jɔ̀lɪ̰ɴ
မျှော်လင့်ချက်	m̥jɔ̀lɪ̰ɴdʑɛʔ
မြ	mja̰
မြက်	mjɛʔ
မြက်ခင်း	mjɛʔkʰɪ́ɴ
မြက်ခုတ်ဓား	mjɛʔkʰoʊʔdá
မြက်ခြောက်	mjɛʔtɕʰaʊʔ
မြင့်	mjɪ̰ɴ
မြင်	mjɪ̀ɴ
မြင်း	mjɪ́ɴ
မြင်းကလေး	mjɪ́ɴgəlé
မြင်းကျား	mjɪ́ɴdʑá
မြင်းခြံ	mjɪ́ɴdʑàɴ
မြင်းခွာ	mjɪ́ɴkʰwà
မြင်းခွာရွက်သုပ်	mjɪ́ɴkʰwàjwɛʔθoʊʔ
မြင်းစားဂျုံ	mjɪ́ɴzádʑòʊɴ
မြင်းဆေး	mjɪ́ɴzé
မြင်းတာရာ	mjɪ́ɴtàjà
မြင်းမ	mjɪ́ɴma̰
မြင်းမကလေး	mjɪ́ɴma̰gəlé
မြင်းမိုရ်	mjɪ́ɴmò
မြင်းမိုရ်တောင်	mjɪ́ɴmòtàʊɴ
မြင်းမိုရ်ပွဲ	mjɪ́ɴmòbwɛ́
မြင်းလှည်း	mjɪ́ɴl̥ɛ́
မြင်းသံခွာ	mjɪ́ɴθàɴkʰwà
မြစ်	mjɪʔ
မြစ်ကြီးနား	mjɪʔtɕíná
မြည်	mjì
မြည်း	mjí
မြတ်လေး	mjaʔlé
မြန်	mjàɴ
မြန်နှုန်းပြကိရိယာ	mjàɴn̥óʊɴpja̰kḭjḭjà
မြန်မာ	mjàɴmà
မြန်မာကြီး	mjəmàdʑí
မြန်မာ့	mjàɴma̰
မြန်မြန်	mjàɴmjàɴ
မြမ္မာ	mjàɴmà
မြဝတီ	mja̰wədì
မြား	m̥já
မြိတ်	beɪʔ
မြို့	mjo̰
မြို့စား	mjo̰zá
မြို့တော်	mjo̰dɔ̀
မြို့တော်ဝန်	mjo̰dɔ̀wʊ̀ɴ
မြို့နယ်	mjo̰nɛ̀
မြို့ပြနိုင်ငံ	mjo̰pja̰nàɪɴŋàɴ
မြို့ဝန်	mjo̰wʊ̀ɴ
မြို့အုပ်	mjo̰ʔoʊʔ
မြီ	mjì
မြီးရှေ	mjíʃè
မြုံ	mjòʊɴ
မြူ	mjù
မြူစွမ်	mjùswàɴ
မြေ	mjè
မြေကွက်	mjègwɛʔ
မြေချ	mjètɕʰa̰
မြေခွေး	mjègwé
မြေစာ	mjèzà
မြေနင်းခွာစိုက်	mjènɪ́ɴkʰwàzaɪʔ
မြေနုကျွန်းပေါ်	mjènṵtɕʊ́ɴbɔ̀
မြေပုံ	mjèbòʊɴ
မြေပုံဆွဲပညာ	mjèbòʊɴsʰwɛ́pjɪ̀ɴɲà
မြေပုံသီး	mjèbòʊɴðí
မြေပဲ	mjèbɛ́
မြေပြင်	mjèbjɪ̀ɴ
မြေပြန့်	mjèbja̰ɴ
မြေဖြူခဲ	mjèbjùgɛ́
မြေမြုပ်မိုင်း	mjèmjoʊʔmáɪɴ
မြေရိုင်း	mjèjáɪɴ
မြေရှင်	mjèʃɪ̀ɴ
မြေအောက်	mjèʔaʊʔ
မြေအောက်မီးရထား	mjèʔaʊʔmíjətʰá
မြေအောက်ရထား	mjèʔaʊʔjətʰá
မြေဩဇာ	mjèʔɔ́zà
မြောက်	mjaʊʔ
မြောက်ကိုရီးယား	mjaʊʔkòɹíjá
မြောက်မက်စီဒိုးနီးယား	mjaʊʔmɛʔsìdóníjá
မြောက်အမေရိက	mjaʊʔʔəmèɹḭka̰
မြောက်အိုင်ယာလန်	mjaʊʔʔàɪɴjəlàɴ
မြောင်း	mjáʊɴ
မြေး	mjé
မြေးမ	mjéma̰
မြံမာ	mjàɴmà
မြွက်	mjwɛʔ
မြွေ	mwè
မြွေပါ	mwèbà
မြွေဟောက်	mjwèhaʊʔ
မြှား	m̥já
မြှုပ်	m̥joʊʔ
မြှုပ်နှံ	m̥joʊʔn̥àɴ
မြှောက်	m̥jaʊʔ
မြှောက်ရကိန်း	m̥jaʊʔja̰kéɪɴ
မွတ်	mʊʔ
မွတ်စလင်	mʊʔsəlɪ̀ɴ
မွန်	mʊ̀ɴ
မွန်ဂိုးလီးယား	mʊ̀ɴgólíjá
မွန်တီနီဂရိုး	mʊ̀ɴtìnìgəɹó
မွန်း	mʊ́ɴ
မွန်းစောင်း	mʊ́ɴsáʊɴ
မွန်းတည့်	mʊ́ɴtḭ
မွန်းတိမ်း	mʊ́ɴtéɪɴ
မွန်းလတ်	mʊ́ɴlaʔ
မွန်းလွဲ	mʊ́ɴlwɛ́
မွာချီး	mwàtɕʰí
မွေ့	mwḛ
မွေ့ရာ	mwḛjà
မွေး	mwé
မွေးနေ့	mwénḛ
မွေးနေ့ကိတ်မုန့်	mwénḛkeɪʔmo̰ʊɴ
မွေးနေ့မင်္ဂလာပါ	mwénḛmɪ̀ɴgəlàbà
မွေးရပ်	mwéjaʔ
မွေးရပ်မြေ	mwéjaʔmjè
မွဲ	mwɛ́
မွှား	m̥wá
မွှေး	m̥wé
မှ	m̥a̰
မှတ်	m̥aʔ
မှတ်ကျောက်	m̥aʔtɕaʊʔ
မှတ်စု	m̥aʔsṵ
မှတ်စုစာအုပ်	m̥aʔsṵsàʔoʊʔ
မှတ်ဉာဏ်	m̥aʔɲàn
မှတ်တမ်း	m̥aʔtáɴ
မှတ်တိုင်	m̥aʔtàɪɴ
မှတ်မိ	m̥aʔmḭ
မှန်	m̥àɴ
မှန်စာ	m̥àɴzà
မှန်စီရွှေချ	m̥àɴzìʃwètɕʰa̰
မှန်တော့	m̥àɴdɔ̰
မှန်ပါ့ဘုရား	m̥àɴba̰pʰəjá
မှန်ပြောင်း	m̥àɴbjáʊɴ
မှန်ဖြူ	m̥àɴbjù
မှန်ဘီလူး	m̥àɴbəlú
မှန်မှန်	m̥àɴm̥àɴ
မှန်လာ	m̥àɴlà
မှာ	m̥à
မှား	m̥á
မှို	m̥ò
မှု	m̥ṵ
မှုတ်	m̥oʊʔ
မှုန့်	m̥o̰ʊɴ
မှုန်	m̥òʊɴ
မှောင်ခိုဈေး	m̥àʊɴkʰòzé
မှဲ့	m̥ɛ̰
ယ	ja̰
ယက္ခ	jɛʔkʰa̰
ယက်	jɛʔ
ယခု	jəkʰṵ
ယင်	jɪ̀ɴ
ယင်ကောင်	jɪ̀ɴgàʊɴ
ယင်းမာ	jɪ́ɴmà
ယစ်ထုတ်	jɪʔtʰoʊʔ
ယဇ်	jɪʔ
ယဉ်	jɪ̀ɴ
ယဉ်ကျေးမှု	jɪ̀ɴtɕém̥ṵ
ယတြာ	jədəjà
ယနေ့	ja̰nḛ
ယန္တရား	jàɴdəjá
ယပက်လက်	ja̰pɛʔlɛʔ
ယပင့်	ja̰pɪ̰ɴ
ယပ်	jaʔ
ယမက	jəməka̰
ယမကာ	jəməkà
ယမင်း	jəmɪ́ɴ
ယမနေ	jəmənè
ယမန်နှစ်	jəmàɴn̥ɪʔ
ယမမင်း	jəma̰mɪ́ɴ
ယမုန်နာ	jəmòʊɴnà
ယမ်း	jáɴ
ယမ်းတောင့်	jáɴda̰ʊɴ
ယမ်းမှုန့်	jáɴm̥o̰ʊɴ
ယဝဒီပ	ja̰wa̰dìpa̰
ယသောဓရာ	ja̰θɔ́dəjà
ယာ	jà
ယာဉ်	jɪ̀ɴ
ယာဉ်မောင်း	jɪ̀ɴmàʊɴ
ယာဉ်ရပ်	jɪ̀ɴjaʔ
ယာဘ	jàba̰
ယာမာ	jàmà
ယာယီ	jàjì
ယား	já
ယို	jò
ယိုးဒယား	jódəjá
ယိုးဒယားကြေးသွား	jódəjá
ယိုးဒယားဆယ့်နှစ်ခန်း	jódəjásʰɛ̰n̥əkʰáɴ
ယိုးဒယားနှဲသွား	jódəjá
ယိုးဒယားသမင်လိုက်	jódəjáθəmɪ̀ɴlaɪʔ
ယိုးဒယားသီချင်း	jódəjáθətɕʰɪ́ɴ
ယိုးဒယားသံရှစ်မျိုး	jódəjá
