+	tasɯ
ペル	peɾɯ
ペルオキシソーム	peɾɯokiɕisoːmɯ
ペルオキシド	peɾɯokiɕido
ペルシア人	peɾɯɕiadʑiɴ
ペルシア戦争	peɾɯɕiaseɴsoɯ
ペルシア猫	peɾɯɕianeko
ペルシア語	peɾɯɕiago
ペルシャ	peɾʊʃa
ペルシャ戦争	peɾɯɕaseɴsoɯ
ペルシャ猫	peɾɯɕaneko
ペルシャ絨毯	peɾɯɕadʑɯɯtaɴ
ペルシャ語	peɾɯɕago
ペルシュロン種	peɾɯɕɯɾoɴɕɯ
ペルセウス座	peɾɯseɯsɯza
ペルセウス座流星群	peɾɯseɯsɯzaɾjɯɯseigɯɴ
ペルソナ	peɾɯsona
ペルソナ	pɾkɯna
ペルソナノングラータ	peɾɯsonanoɴgɯɾaːta
ペルミ	teɾɯmi
ペルム紀	peɾɯmɯki
ペルヴィアンクロミス	peɾɯviaɴkɯɾomisɯ
ペルー	peru
ペルー	pɛrɯ
ペルーの	peɾɯɾɯno
ペルーケナガアルマジロ	peɾɯːkenagaaɾɯmadʑiɾo
ペルーテンジクネズミ	peɾɯːteɴdʑikɯnezɯmi
ペルー天竺鼠	peɾɯːteɴdʑikɯnezɯmi
ペルー毛長アルマジロ	peɾɯːkenagaaɾɯmadʑiɾo
ペレストロイカ	eɾest̪o roika
ペレストロイカ	peɾesɯtoɾoika
ペレスメジロザメ	peɾesɯmedʑiɾozame
ペレス目白鮫	peɾesɯmedʑiɾozame
ペレタイジング	peɾetaidʑiɴgɯ
ペレット	peɾetːo
ペレンティーオオトカゲ	peɾeɴteiːootokage
ペレーの毛	peɾeːnoke
ペレーの涙	peɾeːnonamida
ペロニー病	peɾoniːbjoɯ
ペロペロ	peropero
ペロペロ	peɾo peɾo
ペロペロ	peɾopeɾo
ペロポネソス戦争	peɾoponesosɯseɴsoɯ
ペロリーム	pe roliːmu
ペン	peɴ
ペン	pɛn
ペン	pˈɛn
ペン	pˈɛŋ
ペンは剣よりも強し	peɴhakeɴjoɾimotsɯjoɕi
ペンを持ちます	peɴomtɕimasɯ
ペンを持っています	peɴ oimtːeimasɯ
ペンキ	peɴki
ペンキ	peɴˈtɕi
ペンキを二回塗るべきだ	penki o ni kai nurubekida
ペンキローラー	peɴkiɾoːɾaː
ペンキ・ローラー	peɴki ɾoːɾaː
ペンキ塗り	peɴkinɯɾi
ペンキ塗り立て	peɴkinɯɾitate
ペンキ屋	peɴkija
ペンキ屋	peɴkiːa
ペンキ絵	peɴkie
ペンギン	peɴgiɴ
ペンギン水族館	peɴgiɴsɯizokɯkai
ペンギン目	peɴgiɴmokɯ
ペンギン科	peɴgiɴka
ペンクラブ	peɴkɯɾabɯ
ペンクラブ	teɴkɯɾabɯ
ペンコンピュータ	peɴkoɴpjɯːta
ペンション	peɴɕoɴ
ペンシル	peɴɕiɾɯ
ペンシルストライプ	peɴɕiɾɯsɯtoɾaipɯ
ペンシルバニア	peɴɕiɾɯbania
ペンシルフィッシュ	peɴɕiɾɯɸiɕːɯ
ペンシルベニア	peɴɕiɾɯbenia
ペンシルベニアダッチ	peɴɕiɾɯbeniadatɕːi
ペンシルベニア・ダッチ	peɴɕiɾɯbenia datɕːi
ペンシル・ストライプ	peɴɕiɾɯ sɯtoɾaipɯ
ペンシル・フィッシュ	peɴɕiɾɯ ɸiɕːɯ
ペンス	peɴsɯ
ペンステモン	peɴsɯtemoɴ
ペンセ	peɴse
ペンタゴン	peɴtagoɴ
ペンタスロン	peɴtasɯɾoɴ
ペンタゾシン	peɴtazoɕiɴ
ペンタックス	peɴta kːɯ sɯ
ペンタッチ	peɴtatɕːi
ペンタトニック	peɴtatonikːɯ
ペンタブレット	peɴtabɯɾetːo
ペンタプリズム	peɴtapɯɾizɯmɯ
ペンタン	peɴtaɴ
ペンダント	peɴdaɴto
ペンダント	pɛndantɔ
ペンダントトップ	peɴdaɴtotopːɯ
ペンダント・トップ	peɴdaɴto topːɯ
ペンチ	peɴtɕi
ペンティアム	peɴteiamɯ
ペンティアムオーディーピー	peɴteiamɯoːdeiːpiː
ペンティアムスリー	peɴteiamɯsɯɾiː
ペンティアムツー	peɴteiamɯtsɯː
ペンティアムツージーオン	peɴteiamɯtsɯːdʑiːoɴ
ペンティアムツー・ジーオン	peɴteiamɯtsɯː dʑiːoɴ
ペンティアムプロ	peɴteiamɯpɯɾo
ペンティアム・オーディーピー	peɴteiamɯ oːdeiːpiː
ペンティアム・スリー	peɴteiamɯ sɯɾiː
ペンティアム・ツー	peɴteiamɯ tsɯː
ペンディング	peɴdeiɴgɯ
ペンディング	pˈeɴdiɴgɯ
ペントハウス	peɴtohaɯsɯ
ペントリット	peɴtoɾitːo
ペントース	peɴtoːsɯ
ペンナイフ	peɴnaiɸɯ
ペンネ	peɴne
ペンネーム	pennˈeːmu
ペンネーム	peɴneːmɯ
ペンバクロミス	peɴbakɯɾomisɯ
ペンパル	peɴpaɾɯ
ペンフリック	peɴɸɯɾikːɯ
ペンフレンド	peɴɸɯɾeɴdo
ペンプロッター	peɴpɯɾotːaː
ペンペングサ	peɴpeɴgɯsa
ペンホルダ	peɴhoɾɯda
ペンホルダー	peɴhoɾɯdaː
ペンホルダーグリップ	peɴhoɾɯdaːgɯɾipːɯ
ペンホルダー・グリップ	peɴhoɾɯdaː gɯɾipːɯ
ペンボタン	peɴbotaɴ
ペンマンシップ	peɴmaɴɕipːɯ
ペンライト	peɴɾaito
ペンローズタイル	peɴɾoːzɯtaiɾɯ
ペンローズ・タイル	peɴɾoːzɯ taiɾɯ
ペン・クラブ	peɴ kɯɾabɯ
ペン・コンピュータ	peɴ koɴpjɯːta
ペン・タブレット	peɴ tabɯɾetːo
ペン・パル	peɴ paɾɯ
ペン・フリック	peɴ ɸɯɾikːɯ
ペン・プロッター	peɴ pɯɾotːaː
ペン先	peɴsaki
ペン先	teɴsaki
ペン入力	peɴnjɯɯɾjokɯ
ペン卒	teɴsotsɯ
ペン回し	peɴmaɰᵝaɕi
ペン回し	peɴmaɰᵝaʃi
ペン型	peɴgata
ペン字	peɴdʑi
ペン字体	peɴdʑitai
ペン形	peɴgata
ペン書き	peɴgaki
ペン書道	teɴɕodoɯ
ペン画	peɴga
ペン皿	peɴzaɾa
ペン立て	peɴtate
ペン立て	peɴtatete
ペン胼胝	peɴdako
ペン軸	peɴdʑikɯ
ペーガソス	peːgasosɯ
ペーシェント	peːɕieɴto
ペーシュカショーロ	peːɕɯkaɕoːɾo
ペーシュ・カショーロ	peːɕɯ kaɕoːɾo
ページ	pˈeidʑi
ページ	pˈeˈʒi
ページごとに	pẽːdʑigotoni
ページに及ぶ	peːdʑiniojobɯ
ページの下の合計額は	peːdʑi no ɕita no goːkeː gakuva
ページの向き	peːdʑinomɯki
ページの裏	peːdʑinoɯɾa
ページをめくる	peːdʑiomekɯɾɯ
ページを引きちぎる	peːdʑi oçikitɕigɾɯ
ページアウト	peːdʑiaɯto
ページイン	peːdʑiiɴ
ページェント	peːdʑieɴto
ページガール	peːdʑigaːɾɯ
ページデータセット	peːdʑideːtasetːo
ページビュー	peːdʑibjɯː
ページファイル	peːdʑiɸaiɾɯ
ページフォルト	peːdʑiɸoɾɯto
ページフレーム	peːdʑiɸɯɾeːmɯ
ページプリンタ	peːdʑipɯɾiɴta
ページプリンター	peːdʑipɯɾiɴtaː
ページボーイ	peːdʑiboːi
ページミル	peːdʑimiɾɯ
ページモード	peːdʑimoːdo
ページャ	peːdʑa
ページャー	peːdʑaː
ページレイアウトプログラム	peːdʑiɾeiaɯtopɯɾogɯɾamɯ
ページワン	peːdʑiɰᵝaɴ
ページング	peːdʑiɴgɯ
ページング可能	peːdʑiɴgɯkanoɯ
ページング技法	peːdʑiɴgɯgihoɯ
ページ・アウト	peːdʑi aɯto
ページ・イン	peːdʑi iɴ
ページ・ガール	peːdʑi gaːɾɯ
ページ・データセット	peːdʑi deːtasetːo
ページ・ビュー	peːdʑi bjɯː
ページ・ファイル	peːdʑi ɸaiɾɯ
ページ・フォルト	peːdʑi ɸoɾɯto
ページ・フレーム	peːdʑi ɸɯɾeːmɯ
ページ・プリンタ	peːdʑi pɯɾiɴta
ページ・プリンター	peːdʑi pɯɾiɴtaː
ページ・ボーイ	peːdʑi boːi
ページ・モード	peːdʑi moːdo
ページ・レイアウト・プログラム	peːdʑi ɾeiaɯto pɯɾogɯɾamɯ
ページ・ワン	peːdʑi ɰᵝaɴ
ページ分け	peːdʑiɰᵝake
ページ区切り	peːdʑikɯgiɾi
ページ印字装置	peːdʑiiɴdʑisoɯtɕi
ページ変換例外	peːdʑiheɴkaɴɾeigai
ページ座標系	peːdʑizaçjoɯkei
ページ数	peːdʑisɯɯ
ページ書き込み保護	peːdʑikakikomihogo
ページ本体	peːdʑihoɴtai
ページ枠	peːdʑiɰᵝakɯ
ページ番号	peːdʑibaɴgoɯ
ページ番号をつける	peːdʑibaɴgoɯotsɯkeɾɯ
ページ番号を付ける	peːdʑibaɴgoɯotsɯkeɾɯ
ページ組み	peːdʑigɯmi
ページ置換アルゴリズム	peːdʑitɕikaɴaɾɯgoɾizɯmɯ
ページ脚書き	peːdʑiaɕigaki
ページ記述言語	peːdʑikidʑɯtsɯgeɴgo
ページ設定	peːdʑisetːe
ページ読取り装置	peːdʑijomitoɾisoɯtɕi
ページ集合	peːdʑiɕɯɯgoɯ
ペース	peːsɯ
ペース	pɪs
ペースで	teːɴsɯde
ペースト	peːsɯto
ペーストする	peːsɯto sɯɾɯ
ペースト状	peːsɯtodʑoɯ
ペースト状のものだ	peːsɯto dʑoː nomnoda
ペースメーカ	peːsɯmeːka
ペースメーカー	peːsɯmeːkaː
ペース配分	peːsɯhaibɯn
ペース配分	peːsɯhaibɯɴ
ペーズリー	peːzɯɾiː
ペーソス	peːsosɯ
ペーハー	pɛː˥˥aː˧˧
ペーパフィード	peːpaɸiːdo
ペーパ・フィード	peːpa ɸiːdo
ペーパー	peːpaː
ペーパーウエイト	peːpaːɯeito
ペーパーカップ	peːpaːkapːɯ
ペーパーカンパニー	peːpaːkaɴpaniː
ペーパークラフト	peːpaːkɯɾaɸɯto
ペーパークロマトグラフィー	peːpaːkɯɾomatogɯɾaɸiː
ペーパーゴールド	peːpaːgoːɾɯdo
ペーパージャム	peːpaːdʑamɯ
ペーパータオル	peːpaːtaoɾɯ
ペーパーテスト	peːpaːtesɯto
ペーパードライバ	peːpaːdoɾaiba
ペーパードライバー	peːpaːdoɾaibaː
ペーパーナイフ	peːpaːnaiɸɯ
ペーパーバック	peːpaːbakːɯ
ペーパープラン	peːpaːpɯɾaɴ
ペーパーホルダー	peːpaːhoɾɯdaː
ペーパーホールダー	peːpaːhoːɾɯdaː
ペーパーレス	peːpaːɾesɯ
ペーパーワーク	peːpaːɰᵝaːkɯ
ペーパー・カップ	peːpaː kapːɯ
ペーパー・カンパニー	peːpaː kaɴpaniː
ペーパー・クロマトグラフィー	peːpaː kɯɾomatogɯɾaɸiː
ペーパー・ゴールド	peːpaː goːɾɯdo
ペーパー・ジャム	peːpaː dʑamɯ
ペーパー・タオル	peːpaː taoɾɯ
ペーパー・テスト	peːpaː tesɯto
ペーパー・ドライバ	peːpaː doɾaiba
ペーパー・ドライバー	peːpaː doɾaibaː
ペーパー・プラン	peːpaː pɯɾaɴ
ペーパー・ホルダー	peːpaː hoɾɯdaː
ペーパー・ホールダー	peːpaː hoːɾɯdaː
ペーパー電池	peːpaːdeɴtɕi
ペーブメント	peːbɯmeɴto
ペーブメントアーチスト	peːbɯmeɴtoaːtɕisɯto
ペーブメント・アーチスト	peːbɯmeɴto aːtɕisɯto
ペープサート	peːpɯsaːto
ペーペー	peːpeː
ペール	peːɾɯ
ペールエール	peːɾɯeːɾɯ
ペールホワイト	peːɾɯhoɰᵝaito
ペールリップドサージャンフィッシュ	peːɾɯɾipːɯdosaːdʑaɴɸiɕːɯ
ペールリップドサージョンフィッシュ	peːɾɯɾipːɯdosaːdʑoɴɸiɕːɯ
ペール・エール	peːɾɯ eːɾɯ
ペール・ホワイト	peːɾɯ hoɰᵝaito
ペール缶	peːɾɯkaɴ
ペーロニー病	peːɾoniːbjoɯ
ホ	a
ホ	ho
ホ	ˈo
ホアチン	hoatɕiɴ
ホアー	hoaː
ホイ	hoi
ホイスト	hoisɯto
ホイッスル	hoisɯɾɯ
ホイッスル	hoisːɯɾɯ
ホイッスルの音を聞くやいなや	hoissuru no oto o kikuɪainaɪa
ホイッスルブロウワー	hoisːɯɾɯbɯɾoɯɰᵝaː
ホイッパー	hoipːaː
ホイッパーウィルヨタカ	hoipːaːɯiɾɯjotaka
ホイッパーウィル夜鷹	hoipːaːɯiɾɯjotaka
ホイップ	hoipːɯ
ホイップアーウイルヨタカ	hoipːɯaːɯiɾɯjotaka
ホイップアーウイル夜鷹	hoipːɯaːɯiɾɯjotaka
ホイップクリーム	hoipːɯkɯɾiːmɯ
ホイップクリーム	oipːɯkɯɾiːmɯ
ホイップバター	hoipɯbataː
ホイップ・クリーム	hoipːɯ kɯɾiːmɯ
ホイヘンスの原理	hoiheɴsɯnogeɴɾi
ホイペット	hoipetːo
ホイホイ	hoihoi
ホイリゲ	hoiɾige
ホイル	hoiɾɯ
ホイル	oiɾɯ
ホイル焼	hoiɾɯjaki
ホイル焼き	hoiɾɯjaki
ホイール	hoiːɾɯ
ホイールアライメント	hoiːɾɯaɾaimeɴto
ホイールキャップ	hoiːɾɯkjapːɯ
ホイールスピン	hoiːɾɯsɯpiɴ
ホイールベース	hoiːɾɯbeːsɯ
ホイールマウス	hoiːɾɯmaɯsɯ
ホイール・アライメント	hoiːɾɯ aɾaimeɴto
ホイール・キャップ	hoiːɾɯ kjapːɯ
ホイール・マウス	hoiːɾɯ maɯsɯ
ホウィスカ	hoɯisɯka
ホウオウ	huu
ホウオウガイ	hoɯoɯgai
ホウオウチク	hoɯoɯtɕikɯ
ホウオウボク	hoɯoɯbokɯ
ホウキグサ	hoɯkigɯsa
ホウキムシ	hoɯkimɯɕi
ホウギュウ	hoɯgjɯɯ
ホウサンダンゴ	hoɯsaɴdaɴgo
ホウシゼミ	hoɯɕizemi
ホウズキ	hoɯzɯki
ホウセキハタ	hoɯsekihata
ホウネンエビ	hoɯneɴebi
ホウノキ	hoɯnoki
ホウボウ	hoɯboɯ
ホウボウ	ho˩˥ːbo˥˩ː
ホウムズ	hoɯmɯzɯ
ホウライエソ	hoɯɾaieso
ホウライザメ	hoɯɾaizame
ホウライシダ	hoɯɾaiɕida
ホウライチク	hoɯɾaitɕikɯ
ホウライヒメジ	hoɯɾaiçimedʑi
ホウロウ	hoɯɾoɯ
ホウ砂	hoɯɕa
ホウ素	hoɯso
ホウ酸	hoɯsaɴ
ホウ酸だんご	hoɯsaɴdaɴgo
ホウ酸塩	hoɯsaɴeɴ
ホェール	hoeːɾɯ
ホエイ	hoei
ホエザル	hoezaɾɯ
ホエジカ	hoedʑika
ホエジカ属	hoedʑikazokɯ
ホエー	hoeː
ホエール	hoeːɾɯ
ホエールウォッチング	hoeːɾɯɯotɕːiɴgɯ
ホエールウオッチング	hoeːɾɯɯotɕːiɴgɯ
ホエール・ウォッチング	hoeːɾɯ ɯotɕːiɴgɯ
ホエール・ウオッチング	hoeːɾɯ ɯotɕːiɴgɯ
ホオジロ	hoodʑiɾo
ホオジロ	hoːdʑiɾ
ホオジロガモ	hoodʑiɾogamo
ホオジロガモ	hoːdʑiɾogam
ホオジロザメ	hoodʑiɾozame
ホオスジオオトカゲ	hoosɯdʑiootokage
ホオズキ	hoozɯki
ホオズキガイ	hoozɯkigai
ホオノキ	hoonoki
ホカホカ弁当	hokahokabeɴtoɯ
ホカ弁	hokabeɴ
ホキ	hoki
ホクホクする	hokɯhokusɯɾɯ
ホクロ	hokɯɾo
ホクロキンチャクフグ	hokɯɾokiɴtɕakɯɸɯgɯ
ホコサキ	hokosaki
ホコリ	hokoɾi
ホコリ	okori
ホコリ	okoɾi
ホコリダニ	hokoɾidani
ホコ天	hokoteɴ
ホサナ	hosana
ホサ語	hosago
ホザキシモツケ	hozakiɕimotsɯke
ホザキノフサモ	hozakinoɸɯsamo
ホシガラス	hoɕigaɾasɯ
ホシガラス	htɕigaɾasɯ
ホシクサ	hoɕikɯsa
ホシクズベニハゼ	hoɕikɯzɯbenihaze
ホシゴンベ	hoɕigoɴbe
ホシザメ	hoɕizame
ホシザメ属	hoɕizamezokɯ
ホシゾラヤッコ	hoɕizoɾajakːo
ホシダカラガイ	hoɕidakaɾagai
ホシバナモグラ	hoɕibanamogɯɾa
ホシバナモグラ属	hoɕibanamogɯɾazokɯ
ホシヒレイソハゼ	hoɕiçiɾeisohaze
ホシフグ	hoɕiɸɯgɯ
ホシミドロ	hoɕimidoɾo
ホシムクドリ	hoɕimɯkɯdoɾi
ホシムシ	hoɕimɯɕi
ホジキンリンパ腫	hodʑikiɴɾiɴpaɕɯ
ホジキン病	hodʑikiɴbjoɯ
ホスゲン	hosɯgeɴ
ホスジャンプ	hosɯdʑaɴpɯ
ホスツ	hosɯtsɯ
ホスティング	hosɯteiɴgɯ
ホスティングサーバ	hosɯteiɴgɯsaːba
ホスティングサーバー	hosɯteiɴgɯsaːbaː
ホスティングサービス	hosɯteiɴgɯsaːbisɯ
ホスティング・サーバ	hosɯteiɴgɯ saːba
ホスティング・サーバー	hosɯteiɴgɯ saːbaː
ホスティング・サービス	hosɯteiɴgɯ saːbisɯ
ホステス	hosɯtesɯ
ホステス	osɯtesɯ
ホステス	pɯ̟ᵝsɯ̟ᵝtesɯ̟ᵝ
ホステス	ustes
ホステラー	hosɯteɾaː
ホステル	hosɯteɾɯ
ホステル	hɔstːeɾɯ
ホステル	hʊ̞sɯ̟ᵝt̥eɾɯ
ホスト	hosɯto
ホストカントリー	hosɯtokaɴtoɾiː
ホストクラブ	hosɯto kɯɾabɯ
ホストクラブ	hosɯtokɯɾabɯ
ホストコンピュータ	hosɯtokoɴpjɯːta
ホストコンピューター	hosɯtokoɴpjɯːtaː
ホストシステム	hosɯtoɕisɯtemɯ
ホストネーム	hosɯtoneːmɯ
ホストノード	hosɯtonoːdo
ホストバスアダプタ	hosɯtobasɯadapɯta
ホストファミリー	hosɯtoɸamiɾiː
ホストファーザー	hosɯtoɸaːzaː
ホストマザー	hosɯtomazaː
ホストマシン	hosɯtomaɕiɴ
ホスト・カントリー	hosɯto kaɴtoɾiː
ホスト・クラブ	hosɯto kɯɾabɯ
ホスト・コンピュータ	hosɯto koɴpjɯːta
ホスト・コンピューター	hosɯto koɴpjɯːtaː
ホスト・システム	hosɯto ɕisɯtemɯ
ホスト・ノード	hosɯto noːdo
ホスト・バス・アダプタ	hosɯto basɯ adapɯta
ホスト・ファミリー	hosɯto ɸamiɾiː
ホスト・ファーザー	hosɯto ɸaːzaː
ホスト・マザー	hosɯto mazaː
ホスト・マシン	hosɯto maɕiɴ
ホスト名	hosɯtomei
ホスト計算機	hosɯtokeisaɴki
ホストｏｓ	hosɯtooːesɯ
ホスピス	hosɯpisɯ
ホスピス	hɔspɯisɯ
ホスピタリズム	hosɯpitaɾizɯmɯ
ホスピタリティ	hosɯpitaɾitei
ホスピタリティー	hosɯpitaɾiteiː
ホスピタル	hosɯpitaɾɯ
ホスファゲン	hosɯɸageɴ
ホスファターゼ	hosɯɸataːze
ホスファチジルエタノールアミン	hosɯɸatɕidʑiɾɯetanoːɾɯamiɴ
ホスフィン	hosɯɸiɴ
ホスフィン酸	hosɯɸiɴsaɴ
ホスホキナーゼ	hosɯhokinaːze
ホスホリラーゼ	hosɯhoɾiɾaːze
ホスホン酸	hosɯhoɴsaɴ
ホセア書	hoseaɕo
ホソウミニナ	hosoɯminina
ホソクビゴミムシ	hosokɯbigomimɯɕi
ホソクビゴミムシ科	hosokɯbigomimɯɕika
ホソヌタウナギ属	hosonɯtaɯnagizokɯ
ホソバニンジン	hosobaniɴdʑiɴ
ホタテ	hotate
ホタテガイ	hotategai
ホタテガイ	htteɾai
ホタル	hotaɾɯ
ホタルイ	hotaɾɯi
ホタルイカ	hotaɾɯika
ホタルカズラ	po taɾɯkazɯɾa
ホタルック	ho̞ːta̠ɾɯkːɯ
ホタル族	hotaɾɯzokɯ
ホチキス	hotɕikisɯ
ホチキスはとても便利だ	hotɕikisuva totemo benrida
ホチキス玉	hotɕikisɯtama
ホチキス芯	hotɕikisɯɕiɴ
ホチキス針	hotɕikisɯhaɾi
ホッカイロ	hokːaɾo
ホッキョクイワナ	hokːjokɯiɰᵝana
ホッキョクオオカミ	hokːjokɯookami
ホッキョクギツネ	hokːjokɯ gitsɯne
ホッキョクギツネ	hokːjokɯgitsɯne
ホッキョクギツネ属	hokːjokɯgitsɯnezokɯ
ホッキョククジラ	hokːjokɯkɯdʑiɾa
ホッキョクグマ	hokːjokɯgɯma
ホッキョクダラ	hokːjokɯdaɾa
ホッキョクノウサギ	hokːjokɯnoɯsagi
ホッキ貝	hokːigai
ホッキ貝	hokːikai
ホック	hokːɯ
ホッグ	hogːɯ
ホッケ	hokːe
ホッケ	pok˨ke
ホッケー	hokːeː
ホッコクアカエビ	hokːokɯakaebi
ホッチキス	hotɕːikisɯ
ホッチキスでとめる	ho̞tɕːikisɯdetomeɾɯ
ホッチキス玉	hotɕːikisɯtama
ホッチキス芯	hotɕːikisɯɕiɴ
ホッチキス針	hotɕːikisɯhaɾi
ホッテントット	hotːeɴtotːo
ホット	hotːo
ホットでお願いします	ɕotːodeonegaiɕimasɯ
ホットアトム	hotːoatomɯ
ホットアトム化学	hotːoatomɯkagakɯ
ホットウィスキー	hotːoɯisɯkiː
ホットウイスキー	hotːoɯisɯkiː
ホットウォー	hotːoɯoː
ホットウオー	hotːoɯoː
ホットカーペット	hotːokaːpetːo
ホットカーラー	hotːokaːɾaː
ホットキー	hotːokiː
ホットク	hotːokɯ
ホットケーキ	hotːokeːki
ホットケーキミックス	hotːokeːkimikːɯsɯ
ホットケーキ・ミックス	hotːokeːki mikːɯsɯ
ホットコーナー	hotːokoːnaː
ホットコーヒー	hotːokoːçiː
ホットサンド	hotːosaɴdo
ホットシュー	hotːoɕɯː
ホットジャズ	hotːodʑazɯ
ホットジャバ	hotːodʑaba
ホットスタンバイ	hotːosɯtaɴbai
ホットスタート	hotːosɯtaːto
ホットスペア	hotːosɯpea
ホットスポット	hotːosɯpotːo
ホットスワッパブル	hotːosɯɰᵝapːabɯɾɯ
ホットスワップ	hotːosɯɰᵝapːɯ
ホットソース	hotːosoːsɯ
ホットソース	otːosoːsɯ
ホットタイプ	hotːotaipɯ
ホットチョコレート	hokːotɕokɾeːto
ホットチョコレート	hotːotɕokoɾeːto
ホットドッキング	hotːodokːiɴgɯ
ホットドッグ	hotːodogːɯ
ホットドッグ	hotːodokːɯ
ホットドッグ２こ	hottodoggu ni ko
ホットニュース	hotːonjɯːsɯ
ホットバックアップ	hotːobakːɯapːɯ
ホットバルーン	hotːobaɾɯːɴ
ホットパンツ	hotːopaɴtsɯ
ホットフラッシュ	hotːoɸɯɾaɕːɯ
ホットプラグ	hotːopɯɾagɯ
ホットプレート	hotːopɯɾeːto
ホットプレート	otːopɾeːto
ホットポテト	hotːopoteto
ホットマネー	hotːomaneː
ホットメール	hʊtːo̞mei̥ ɾɯ
ホットライン	hotːoɾaiɴ
ホットラボ	hotːoɾabo
ホットラボラトリー	hotːoɾaboɾatoɾiː
ホットリスト	hotːoɾisɯto
ホットリセット	hotːoɾisetːo
ホットリンク	hotːoɾiɴkɯ
ホットロッド	hotːoɾodːo
ホットワイン	hotːoɰᵝaiɴ
ホットワイン	o̞t̪o̞a in
ホット・アトム	hotːo atomɯ
ホット・ウィスキー	hotːo ɯisɯkiː
ホット・ウイスキー	hotːo ɯisɯkiː
ホット・ウオー	hotːo ɯoː
ホット・カーペット	hotːo kaːpetːo
ホット・カーラー	hotːo kaːɾaː
ホット・コーナー	hotːo koːnaː
ホット・コーヒー	hotːo koːçiː
ホット・サンド	hotːo saɴdo
ホット・シュー	hotːo ɕɯː
ホット・ジャズ	hotːo dʑazɯ
ホット・スタンバイ	hotːo sɯtaɴbai
ホット・スタート	hotːo sɯtaːto
ホット・スペア	hotːo sɯpea
ホット・スポット	hotːo sɯpotːo
ホット・スワップ	hotːo sɯɰᵝapːɯ
ホット・ソース	hotːo soːsɯ
ホット・タイプ	hotːo taipɯ
ホット・チョコレート	hotːo tɕokoɾeːto
ホット・ドッキング	hotːo dokːiɴgɯ
ホット・ドッグ	hotːo dogːɯ
ホット・ニュース	hotːo njɯːsɯ
ホット・バックアップ	hotːo bakːɯapːɯ
ホット・バルーン	hotːo baɾɯːɴ
ホット・フラッシュ	hotːo ɸɯɾaɕːɯ
ホット・プラグ	hotːo pɯɾagɯ
ホット・ポテト	hotːo poteto
ホット・マネー	hotːo maneː
ホット・ライン	hotːo ɾaiɴ
ホット・ラボラトリー	hotːo ɾaboɾatoɾiː
ホット・リセット	hotːo ɾisetːo
ホット・ロッド	hotːo ɾodːo
ホット・ワイン	hotːo ɰᵝaiɴ
ホッパー	hopːaː
ホッパー車	hopːaːɕa
ホッビングマシン	hobːiɴgɯmaɕiɴ
ホッビング・マシン	hobːiɴgɯ maɕiɴ
ホッピング	hopːiɴgɯ
ホッピング	opiɴgɯ
ホッピー	hapːi
ホップ	hopːɯ
ホップ	hoːpɯ
ホップステップジャンプ	hopːɯsɯtepːɯdʑaɴpɯ
ホップ・ステップ・ジャンプ	hopːɯ sɯtepːɯ dʑaɴpɯ
ホッホッホッ	hohːohːoʔ
ホテイソウ	o teːsoː
ホテイチ	hoteitɕi
ホテイベニハゼ	hoteibenihaze
ホテイラン	hoteiɾaɴ
ホテトル	hotetoɾɯ
ホテヘル	hoteheɾɯ
ホテル	hoteɾɯ
ホテル	hoteːɾɯ
ホテル	opeɾɯ
ホテル	oteɾɯ
ホテルに泊まる	hoɯteɾɯnitomaɾɯ
ホテルの場所を	hoteru no baɕo o
ホテルは	hoteruva
ホテルは部屋代として	hoteruva heɪa dai to ɕite
ホテルヘルス	hoteɾɯheɾɯsɯ
ホテルマン	hoteɾɯmaɴ
ホテルマン	hɔtɛɾɯmaɴ
ホテルヨーロッパ	oteɾɯjoːɾopːa
ホテル・ヘルス	hoteɾɯ heɾɯsɯ
ホテル・マン	hoteɾɯ maɴ
ホテル柳橋	ho teɾɯjanagibaɕi
ホテル龍名館東京	oteɾɯɾjɯɯmeikaɴ toɯkjoɯ
ホトケドジョウ	hotokedodʑoɯ
ホトケノザ	hotokenoza
ホトシンセシス	hotoɕiɴseɕisɯ
ホトトギス	hototogisɯ
ホトトギス	tɔtɔtoˈgis
ホトトギスソウ	hototogisɯsoɯ
ホトマル	hotomaɾɯ
ホノルル	honoɾɯɾɯ
ホノルル経由で東京に帰りたいのですが	honoruru keːɪu de toːkjoː ni kaeritai nodesuga
ホバリング	hobaɾiɴgɯ
ホバリング	obaɾiɴgɯ
ホバークラフト	hobaːkɯɾaɸɯto
ホバークラフト	hoɯaːkɯɾaft
ホバーボード	hobaːboːdo
ホビット	obitːo
ホビー	hobiː
ホビークラフト	hobiːkɯɾaɸɯto
ホビー・クラフト	hobiː kɯɾaɸɯto
ホピ語	hopigo
ホフブロイハウス	hoɸɯbɯɾoihaɯsɯ
ホフマン方式	hoɸɯmaɴhoɯɕiki
ホブ	hobɯ
ホブソンさんは	hobuson sanva
ホブボームの論点は	hopuboːmu no rontenva
ホホジロ	hohodʑiɾo
ホホジロザメ	hohodʑiɾozame
ホホジロザメ属	hohodʑiɾozamezokɯ
ホマトロピン	homatoɾopiɴ
ホミサイド	ho misai do
ホミニゼーション	hominizeːɕoɴ
ホムペ	homɯpe
ホムンクルス	homɯɴkɯɾɯsɯ
ホメオスタシス	homeosɯtaɕisɯ
ホメオティック遺伝子	homeoteikːɯideɴɕi
