abadanlıq	ɑbɑdɑnɫɯχ
kəfən	tʃæfæn
kəfgir	cæfɟir
kəfgir	tʃæfdʒir
kəklik	cæclic
kəklikotu	cæclicotu
kəklikotu	cæclijotu
kəlbətin	cælbætin
kəlbətin	tʃælbætin
kəlçə	cæltʃæ
kəlçə	tʃæltsæ
kələk	cælæc
kələk	tʃælætʃ
kəllə	cælːæ
kəllə	tʃælːæ
kəlmə	cælmæ
kəlmə	tʃælmæ
kənar	cænɑr
kənar	tʃænɑr
kənd	cænd
kənd	cæt
kəpək	kæpæj
kəpək	kæpæk
kəpək	tʃæpætʃ
kəpənək	cæpænæc
kərə	kæræ
kərki	cærci
kərki	tʃærtʃi
kərt	cært
kərtənkələ	cærtæncælæ
kərt	tʃært
kəs	cæs
kəsək	cæsæc
kəsək	tʃæsæc
kəsəl	cæsæl
kəsəl	tʃæsæl
kəsik	cæsic
kəsik	tʃæsitʃ
kəsilmək	cæsilmæc
kəsilmək	tʃæsilmɑχ
kəsmək	cæsmæk
kəsmək	tʃæsmɑχ
kətayun	kætɑjun
ki	ci
kiçik	cçitsij
kiçik	citʃic
kiçik	citʃiç
kiçik	citʃij
kiçik	tsitsih
kiçilmək	cçitsilmæj
kiçilmək	citʃilmæc
kiçilmək	citʃilmæj
kiçilmək	citʃilmætʃ
kiçilmək	citʃilmej
kiçilmək	tsitsilmæh
ki	cin
kifirləşmək	cifirːæʃmæj
kifirləşmək	cifirlæʃmæj
kilsə	cilsæ
kim	cim
kimdənsə	cimdænsæ
kimdənsə	cimnænsæ
kimdəsə	cimdæsæ
kiməsə	cimæsæ
kimi	cimi
kiminləsə	ciminlæsæ
kiminsə	ciminsæ
kimisə	cimisæ
kimi	tʃimi
kimlik	cimlik
kimlik	tʃimlitʃ
kimsə	cimsæ
kimsədə	cimsædæ
kimsədən	cimsædæn
kimsəni	cimsæni
kimsənin	cimsænin
kimsəyə	cimsæjæ
kimya	cimja
kimyaçı	cimjatʃɯ
kimyaçı	tʃimjatsɯ
kimya	tʃimja
kimyəvi	cimjæːvi
kimyəvi	tʃimjæːvi
kinayə	cinɑːjæ
kirəc	cirædʒ
kirəc	tʃirædz
kiriş	ciriʃ
kirli	cirːi
kirli	cirli
kirpi	cirpi
kirpik	cirpic
kişibaz	kiʃibɑz
kişibazlıq	kiʃibɑzɫɯχ
kişmiş	ciʃmiʃ
kişmiş	tʃiʃmiʃ
kitabxana	citɑbχɑnɑ
kitabxanaçı	citɑbxɑnɑtʃɯ
kitabxanaçı	tʃitɑbxɑnɑtsɯ
kitayski	citɑjsci
kitayski	tʃitɑjsci
kobud	tʃobud
köçəri	cœtʃæri
köçəri	tʃœtsæri
köçkün	cœtʃcyn
köçkün	tʃœtstʃyn
kodlaşdırma	kodɫɑʃdɯrmɑ
koğuş	coɣuʃ
köhnə	cœhnæ
köhnə	cœjnæ
köhnə	tʃœhnæ
kök	cœc
kökəlmək	kœkælmæj
kökəlmək	kœkælmæk
köks	cœcs
köks	tʃœtʃs
kol	coɫ
kölgə	cœlɟæ
kömək	cœmæc
kömək	cœmæç
kömək	cœmæj
kömək	cœmætʃ
kömək	cœmej
kommunizm	kɑmunizm
kommunizm	komunizm
kömür	kœmyr
kömür	tʃœmyr
könül	cœnyl
könül	cœŋyl
könül	dʒœːl
köpək	cœpæc
köpək	cœpæç
köpək	kœpæj
köpük	cœpyc
kor	cor
körpə	kœrpæ
körpə	tʃœrpæ
körpü	cœrpy
köşək	cœʃæc
köşək	cœʃæj
köşək	tʃœʃætʃ
kösöv	kœsœv
kösöv	tʃœsœv
köynək	cœjnæc
köynək	tʃœjnætʃ
kravat	krɑvɑt
küçə	cytʃæ
küçə	tsytsæ
küçə	tʃytsæ
küftə	cyftæ
küftə	tʃyftæ
külək	cylæc
külək	cylæç
külək	cylæj
külək	tʃylætʃ
kül	kyl
küll	cyl
künc	tʃyndz
kündür	cyndyr
kündür	tʃyndyr
kürəcik	cyrædʒik
kürəcik	tʃyrædzitʃ
kürəkçi	kyræktʃi
kürəkçi	tʃyrætʃtsi
kürəkən	kyrækæn
kürəkən	tʃyrætʃæn
küsmək	kysmæj
küsmək	kysmæk
kuxna	kuxna
labüd	ɫɑːbyd
laçın	ɫɑtsɯn
laçın	ɫɑtʃɯn
lahiyə	ɫɑːhijæ
lakin	laːcin
lakin	laːtʃin
lampoçka	ɫɑmbɯtskɑ
lampoçka	ɫɑmpɯtskɑ
lampoçka	ɫɑmpɯtʃkɑ
laqeyd	ɫɑːgejd
layihə	ɫɑːjihæ
layiq	lɑːjig
layiq	lɑːjik
lazım	ɫɑːzɯm
lazım	ɫɑzɯm
lazımsız	ɫɑzɯmsɯz
lehinə	læhinæ
leysan	lejsɑn
ləhcə	læhdʒæ
ləhcəşünas	læhdʒæʃynɑs
ləhcəşünaslıq	læhdʒæʃynɑsɫɯχ
lətifə	lætifæ
ləzgi	læzɟi
liman	limɑn
lökbatan	lœcbɑtɑn
lökbatan	lœtʃbɑtɑn
lök	lœc
lök	lœtʃ
loru	loru
lövbər	lœvbær
lüğət	lyɣæt
lütfən	lytfæn
lüt	lyt
maarifçilik	mɑːriftsiliç
maarifçilik	mɑːriftsilitʃ
maarifçilik	mɑːriftʃilij
maarifçilik	mɑːriftʃilik
maarifçi	mɑːriftsi
maarifçi	mɑːriftʃi
maarifləndirmək	mɑːriflændirmæj
maarifləndirmək	mɑːriflændirmæk
maariflənmək	mɑːriflænmæj
maariflənmək	mɑːriflænmæk
maarif	mɑːrif
macar	mɑdzɑr
macar	mɑdʒɑr
macəra	mɑːdzærɑ
macəra	mɑːdʒærɑ
mahiyyətcə	mɑhijætdʒæ
mahiyyət	mɑːhijæt
mahnı	mɑhnɯ
makedoniya	mɑtʃedonijɑ
mal	mɑɫ
manat	mɑnɑt
mane	mɑːne
maraqlı	mɑrɑɣɫɯ
maraq	mɑrɑɣ
maraq	mɑrɑx
masa	mɑsɑ
matç	mɑttʃ
mayalandırmaq	mɑjɑɫɑndɯrmɑx
mazut	mɑzut
memar	meːmɑr
memar	memɑr
mem	mem
mesaj	mesɑʒ
meydança	mejdɑntsɑ
meydança	mejdɑntʃɑ
meydan	mejdɑn
meyit	mejit
meyitxana	mejitχɑnɑ
meynə	mejnæ
məbəd	mæːbæd
məcazi	mædzɑːzi
məcazi	mædʒɑːzi
məclis	mædzlis
məclis	mædʒlis
mədə	mæːdæ
mədəni	mædæni
mədəniyyət	mædænijæt
mədrəsə	mædræsæ
məfhum	mæfhum
məğlubiyyət	mæɣɫubijæt
məğlub	mæɣɫub
məhəlli	mæhælːi
məhkəmə	mæhkæmæ
məhşər	mæhʃær
məhsul	mæhsuɫ
məhşur	mæhʃur
məhz	mæhs
məhz	mæhz
məktəb	mæçtæb
məktəb	mæktæb
məktub	mæctub
məktub	mæhtub
mələfə	mælæfæ
mələz	mælæz
məlum	mæːɫum
məmməd	mæmmæd
məmur	mæːmur
məmur	mæmur
məna	mæːnɑ
mənasız	mæːnɑsɯz
mənfəət	mænfææt
mənimsəmək	mænimsæmæj
mənimsəmək	mænimsæmæk
mənimsəmə	mænimsæmæ
mənzərə	mænzæɾæ
məqsədəuyğunluq	mægsædæujɣunɫuχ
məqsədəuyğunluq	mæksædæujɣunɫuχ
məqsədəuyğun	mægsædæujɣun
məqsədəuyğun	mæksædæujɣun
məqsəd	mægsæd
məqsəd	mæksæd
mərasim	mærɑːsim
mərhələ	mærhælæ
mərifət	mærifæt
mərkəzi	mærkæzi
məruzə	mæruːzæ
məsafə	mæsɑːfæ
məsələn	mæsælæn
məsləhət	mæslæhæt
məşrutə	mæʃruːtæ
məsul	mæːsuɫ
mətbəəçi	mætbæætsi
mətbəəçi	mætbæætʃi
mətbəə	mætbææ
mətbəx	mætbæχt
məxəz	mæχæz
məxfi	mæxfi
məyus	mæːjus
məziyyət	mæzijæt
məzlum	mæzɫum
məzuniyyət	mæzunijæt
milad	miɫɑd
milçək	miltsætʃ
milçək	miltʃæc
millət	milːæt
minbər	minbær
minmək	mimːæk
minmək	minmæk
minmək	minmɑχ
minmək	minmej
min	min
minnətdar	minːætdɑr
mirzə	mirzæ
mişar	miʃɑr
mişar	mɯʃɑr
misilsiz	misilsiz
mismar	mismɑɾ
mıx	mɯχ
möcüzə	mœːdʒyzæ
möhtərəm	mœhtæræm
molekul	molekuɫ
molla	molːa
morfoloji	mɑrfɑloʒi
morfoloji	mɑrfɑloʒɯ
morfoloji	morfoloʒɯ
mötəbər	mœːtæbær
mövcudluq	mœvdzudɫuχ
mövcudluq	mœvdʒudɫuχ
mövhumat	mœvhumɑt
müavinət	myɑːvinæt
mübarizə	mubɑːrizæ
mübarizə	mybɑːrizæ
müəllif	myælːif
müəllimə	myælːimæ
müəllimlik	myælːimlic
müəllim	myælːim
müflis	myflis
muğayat	muɣɑːjet
muğayat	muɣɑjɑt
müğənni	myɣænːi
mühacirət	myhɑːdziræt
mühacirət	myhɑːdʒiræt
mühacir	myhɑːdzir
mühacir	myhɑːdʒir
müharibə	myhɑːribæ
mühazirəçi	myhɑːzirætsi
mühazirəçi	myhɑːzirætʃi
mühəndis	myhændis
mühərrik	myhærːik
mühüm	myhym
müjdəçi	myʒdætsi
müjdəçi	myʒdætʃi
müjdə	mydʒdæ
müjdə	myʒdæ
mülayim	myɫɑːjim
münaqişə	mynɑːgiʃæ
münbit	mynbit
muncuq	mundzux
muncuq	mundʒux
mundar	mundɑr
mundar	mɯndɑr
münşi	mynʃi
müntəxəbat	myntæxæbɑt
müqavimət	mygɑːvimæt
müqayisə	mygɑːjisæ
müqəssir	mygæsːir
murdar	murdɑr
mürəkkəb	myrækːæb
müsabiqə	mysɑːbigæ
müsahibə	mysɑːhibæ
müşahidə	myʃɑːhidæ
musa	musɑ
müşəmbə	myʃæmbæ
musiqi	muːsigi
müstəqillik	mystægilliç
müstəqillik	mystægillij
müstəqillik	mystægillik
müstəqil	mystægil
müştəri	myʃtæri
müstəsna	mystæsna
muştuluqçu	muʃtuɫuχtsu
muştuluqçu	muʃtuɫuχtʃu
muştuluq	muʃtuluχ
mütəəllim	mytæːlːim
mütləq	mytlæg
mütləq	mytlæk
müttəfiq	mytːæfig
müvəffəqiyyət	myvæfægijæt
müxalifət	muxɑlifæt
müxalifət	myxɑːlifæt
müxbir	myxbir
muxtar	muχtɑr
müxtəlif	myxtælif
müzakirə	myzɑːciræ
muzdur	muzdur
nadir	nɑːdir
nağıl	nɑɣɯɫ
nahiyə	nɑːhijæ
nakam	nɑːcɑm
nal	nɑɫ
namaz	nɑmɑz
naməlum	nɑːmælum
namə	nɑːmæ
nanə	nɑːnæ
narahat	nɑrɑhɑt
narazı	nɑrɑːzɯ
narın	nɑːrɯn
narkotacir	nɑrkotɑːdzir
narkotacir	nɑrkotɑːdʒir
narkoticarət	nɑrkotidzɑːræt
narkoticarət	nɑrkotidʒɑːræt
naşir	nɑːʃir
natamamlıq	nɑtɑmɑmɫɯχ
natamamlıq	nɑtɑmɑnɫɯχ
natəmiz	nɑːtæmiz
nazik	nɑːzic
nazirlik	nɑːzirlic
nazirlik	nɑːzirlij
nazir	nɑːzir
neçənci	netsændzi
neçənci	netʃændʒi
necə	nedzæ
necə	nedʒæ
neçəyədir	netsjædir
neçəyədir	netʃjædir
neftçi	nefttsi
neftçi	nefttʃi
neft	næft
neft	neft
nemət	neːmæt
nemət	nejmæt
neyçün	nejtʃyn
neyləmək	nejlæmæj
neyləmək	nejlæmæk
neynəmək	nejnæmæj
neynəmək	nejnæmæk
nəbi	næbi
nəcib	nædzib
nəcib	nædʒib
nəçi	nætsi
nəçi	nætʃi
nəcis	nædzis
nəcis	nædʒis
nəfər	næfær
nəfəs	næfæs
nəfs	næfs
nəğmə	næɣmæ
nəm	næm
nənə	nænæ
nəqərat	nægɑːræt
nəql	nægl
nərdivan	nærdivɑn
nəsə	næsæ
nəşə	næʃæ
nəşəxor	næʃæxor
nəsib	næsib
nəsil	næsil
nəşr	næʃr
nətər	nætær
nəticə	nætidzæ
nəticə	nætidʒæ
nəticəsində	nætidzæsindæ
nəticəsində	nætidʒæsindæ
nəvə	nævæ
nəyəsə	næjæsæ
nəyinsə	næjinsæ
nəyisə	næjisæ
nəzakət	næzɑːkæt
nicat	nidzɑt
nicat	nidʒɑt
nifrət	nifræt
nijad	niʒɑd
nikbin	nikbin
niyə	nijæ
nökər	nœcær
nökər	nœtʃær
nömrə	nœmræ
nöqtə	nœktæ
növbə	nœvbæ
noxta	noxtɑ
nümayəndə	nymɑːjindæ
nümayəndə	nymɑjæːndæ
nümunəvi	nymuːnævi
oboy	ɑboj
ocaqlıq	odzɑɣɫɯχ
ocaqlıq	odʒɑɣɫɯχ
ocaq	odzɑχ
ocaq	odʒɑχ
oçerk	otsertʃ
oçerk	otʃerk
ödəniş	œdæniʃ
ödənişsiz	œdæniʃsiz
ödlük	œdlyç
ödlük	œdlyj
ödlük	œdlyk
öd	œd
odun	odun
öfgə	œfdʒæ
öfgə	œfɟæ
öfgə	ofɟæ
ögey	œɟæj
ögey	œɟej
oğlaq	oɣɫɑχ
oğru	oɣru
oğul	oɣuɫ
oğurlamaq	oɣurːɑmɑχ
öküz	œkyz
olay	oɫɑj
ölçmək	œltsmæj
ölçmək	œltsmæk
ölçmək	œltsmɑχ
ölçmək	œltʃmæj
ölçmək	œltʃmæk
ölçmək	œʃmɑχ
ölçü	œltsy
ölçü	œltʃy
oldu	oɫdu
öldürmək	œldyrmæj
öldürmək	œldyrmæk
öldürmək	œldyrmɑχ
ölət	œlæd
ölət	œlæt
ölkə	œlcæ
olmaq	olmɑχ
ölmək	œlmæk
ölmək	œlmɑχ
olsun	oɫsun
olsun	osːun
ölümcül	œlymdzyl
ölümcül	œlymdʒyl
ölüm	œlym
ölüsoyan	œlysojɑn
ölüxana	œlyχɑnɑ
öndər	œndær
önəmli	œnæmli
önşərt	œnʃært
onuncu	onundʒu
onurğa	onurɣɑ
öpmək	œpmæj
öpmək	œpmæk
öpüşmək	œpœpyʃmæj
öpüşmək	œpyʃmæk
oradan	orɑdɑn
oradan	ordɑn
orada	orɑdɑ
ördəkburun	œrdækburun
ördək	œrdæç
ördək	œrdæj
ördək	œrdæk
ordu	ordu
örgənmək	œrɟæmːæc
örgənmək	œrɟænmæc
örgəşmək	œrɟæʃmæc
örpək	œrpæç
örpək	œrpæj
orta	ortɑ
örtmək	œrtmæj
örtmək	œrtmæk
örtmək	œrtmɑχ
örtmək	œtmɑχ
örtük	œrtyç
örtük	œrtyj
öskürmək	œsɟyrmɑχ
öskürmək	œskyrmæj
osturaqçı	osturaχtsɯ
osturaqçı	osturaχtʃɯ
osturaq	osturɑχ
osurmaq	osurmɑχ
otaqda	otɑɣdɑ
otaq	otɑχ
ötəri	œtæri
ötkəm	œtkæm
otlamaq	otːɑmɑx
otlamaq	otɫɑmɑx
ötrü	œtry
oturacaq	oturɑdzɑχ
oturacaq	oturɑdʒɑχ
oturmaq	oturmɑχ
oturuş	oturuʃ
otuzuncu	otuzundʒu
otval	ɑtvɑɫ
ovçu	ovtsu
ovçu	ovtsɯ
ovçu	ovtʃu
ovçu	ovtʃɯ
ovdan	ovdɑn
övlad	evlɑd
övlad	œvlɑd
övladsız	œvɫɑdsɯz
övladsız	œvɫɑtsɯz
ovlaq	ovɫɑχ
ov	ov
övrə	œvræ
ovsar	ovsɑr
ovuc	oudz
ovuc	ovudz
ovuc	ovudʒ
ovuq	œːχ
ovuq	œjyχ
ovuq	ojuχ
ovuq	ouχ
ovuq	ovuχ
ovuq	ujuɣ
öxbə	œhbæ
öxbə	œxbæ
oxşamaq	oχʃɑmɑχ
oxşarlıq	oχʃɑrlɯχ
oxşar	oχʃɑr
oxumaq	oχumaχ
oxuşmaq	oxuʃmɑx
oxutmaq	oχutmɑχ
oyanış	ojɑnɯʃ
oyanmaq	ojɑmːɑχ
oyanmaq	ojɑnmɑχ
öyəc	œdʒædz
öyəc	œjædz
öyəc	œjædʒ
öyəc	œɟædʒ
oymaq	ojmɑx
oynamaq	ojnɑmɑχ
öyrənmək	œjrænmæj
öyrənmək	œjrænmæk
öyrətmək	œjrætmæj
öyrətmək	œjrætmæk
oyun	ojun
özəl	œzæl
özünlə	œzynlæ
paçka	pɑʃkɑ
paçka	pɑtʃkɑ
palata	pɑɫɑtɑ
palçıq	pɑɫtsɯχ
palçıq	pɑɫtʃɯχ
paltaryuyan	pɑɫtɑrjujɑn
papaq	pɑpɑχ
papiros	pɑpiros
parlamaq	pɑrlɑmɑχ
partal	pɑrtɑl
partlamaq	pɑrtːɑmɑχ
partlatmaq	pɑrtːɑtmɑχ
partlayış	pɑrtːɑjɯʃ
pasxa	pɑsχɑ
patrondaş	pɑtrondɑʃ
paxıllıq	pɑχɯɫːɯχ
paxıl	pɑχɯɫ
paxır	pɑχɯr
paxmel	pɑxmel
payız	pɑjɯz
paylaşım	pɑjɫɑʃɯm
paytaxt	pɑjtɑχt
peçenye	pitsenːi
peçenye	pitʃenːi
pencək	pendʒæk
pencər	pendzær
pencər	pendʒær
pendir	pendir
penis	penis
pensiya	pensijɑ
peşə	peʃæ
petux	petuχ
peyğəmbər	pejɣæmbær
peyğəmbər	pejɣɑmbær
peyvənd	pejvænd
pənah	pænɑh
pəncab	pændʒɑb
pəncərə	pændzæræ
pəncərə	pændʒæræ
pəncərə	pendzæræ
pəncərə	pendʒæræ
pərakəndəlik	pærɑːcændælic
pərakəndə	pærɑcændæ
pərvanə	pærvɑːnæ
pillə	pilːæ
pilotsuz	piɫotsuz
pinti	pinti
pis	pis
pivə	piːvæ
pivəxana	piːvæχɑnɑ
planet	pɫɑnet
plaş	pɫɑʃ
plov	pɫov
poçtalyon	potʃtɑljon
poçt	poʃt
poçt	potʃt
podkast	pɑdkɑst
podkat	pɑdgɑt
podkat	pɑtkɑt
polis	polis
polkovnik	pɑɫkovnik
populyar	populjɑɾ
portuqal	poɾtugɑl
pota	potɑ
pozmaq	pozmɑχ
premyera	premjera
prodüser	prodysːer
prodüser	prodyser
proqnozlaşdırmaq	prɑgnozlɑʃdɯrmɑχ
proqnozlaşdırmaq	prognozlɑʃdɯrmɑχ
proqramçı	progrɑmtsɯ
proqramçı	progrɑmtʃɯ
proqramlaşdırma	progrɑmɫɑʃdɯrmɑ
pul	puɫ
pulsuz	puɫsuz
pünhan	pynhɑn
qabağa	gɑbɑɣɑ
qabağa	gɑvɑɣɑ
qabağında	gɑbɑɣɯndɑ
qabaqcadan	gɑbɑɣdʒɑdɑn
qabaqcıl	gɑbɑɣdzɯɫ
qabaq	gɑbɑχ
qabaq	gɑvɑχ
qabaqlamaq	gɑbɑɣɫɑmɑχ
qab	gɑb
qabırğa	gɑbɯrɣɑ
qabyuyan	gɑbjujɑn
qaçaqaç	gɑtsɑgɑts
qaçaqaç	gɑtʃɑgɑtʃ
qaçaq	gɑtsɑχ
qaçaq	gɑtʃɑχ
qaçaqmalçılıq	gɑtsɑɣmɑɫtsɯɫɯχ
qaçaqmalçılıq	gɑtʃɑɣmɑɫtʃɯɫɯχ
qaçaqmal	gɑtsɑɣmɑɫ
qaçaqmal	gɑtʃɑɣmɑɫ
qaçınmaq	gɑtsɯmːɑx
qaçınmaq	gɑtsɯnmɑx
qaçınmaq	gɑtʃɯmːɑx
qaçınmaq	gɑtʃɯnmɑx
qaçırmaq	gɑtsɯrmɑχ
qaçırmaq	gɑtʃɯrmɑχ
qaçış	gɑtsɯʃ
qaçış	gɑtʃɯʃ
qaçmaq	gɑtsmɑχ
qaçmaq	gɑtʃmɑχ
qaçqın	gɑtsgɯn
qaçqın	gɑtʃgɯn
qadağa	gɑdɑɣɑ
qadağan	gɑdɑɣɑn
qada	gɑdɑ
qadın	gɑdɯn
qadın	kɑdɯn
qadın	xɑtun
qadın	xɑtɯn
qafiyə	gɑfijæ
qafqaz	gɑfgɑz
qafqaz	gɑfkɑz
qalamaq	gɑɫɑmɑx
qalaq	gɑɫɑχ
qalayçı	gɑɫɑjtsɯ
qalayçı	gɑɫɑjtʃɯ
qalay	gɑɫɑj
qaldırmaq	gɑldɯrmɑχ
qalib	gɑːlib
qalibiyyət	gɑːlibijjæt
qalmaqal	gɑɫmɑgɑɫ
qalmaqal	gɑɫmɑɣɑɫ
qalmaq	gɑɫmɑχ
qalstuk	gɑɫstuk
qaltaqçı	gɑɫtɑχtsɯ
qaltaqçı	gɑɫtɑχtʃɯ
qaltaq	gɑɫtɑχ
qaluboy	gɑɫuboj
qalxmaq	gɑɫχmɑχ
qanacaq	gɑnɑdzɑχ
qanacaq	gɑnɑdʒɑχ
qanacaqlı	gɑnɑdzɑɣɫɯ
qanacaqlı	gɑnɑdʒɑɣɫɯ
qanad	gɑnɑd
qanamaq	gɑnɑmɑχ
qanbur	gɑnbur
qancıq	gɑndzɯχ
qancıq	gɑndʒɯχ
qandal	gɑndɑɫ
qandallamaq	gɑndɑɫːɑmɑx
qan	gɑn
qanmaq	gɑmːɑχ
qanmaq	gɑnmɑχ
qanmaz	gɑmːɑz
qanmaz	gɑnmɑz
qanun	gɑːnun
qanunverici	gɑːnunveridzi
qanunverici	gɑːnunveridʒi
qapan	gɑpɑn
qapaq	gɑpɑχ
qapı	gɑpɯ
qapmaq	gɑpmɑχ
qarabağ	gɑrɑbɑɣ
qarabaşaq	gɑrɑbɑʃɑx
qaraciyər	gɑrɑdzijær
qaraciyər	gɑrɑdʒijær
qaradərili	gɑrɑdærili
qara	gæræ
qara	gɑrɑ
qaralama	gɑrɑɫɑmɑ
qaralamaq	gɑrɑɫɑmɑχ
qaranlıq	gɑrɑnːɯχ
qaranlıq	gɑrɑnɫɯχ
qarayara	gɑrɑjɑrɑ
qardaşlıq	gɑrdɑʃdɯχ
qardaşlıq	gɑrdɑʃɫɯχ
qarət	gɑːræt
qar	gɑr
qarınca	gɑrɯndzɑ
qarınca	gɑrɯndʒɑ
qarın	gɑrɯn
qarınqulu	gɑrɯnguɫu
qarışdırmaq	gɑrɯʃtɯrmɑχ
qarışıq	gɑrɯʃɯχ
qarışmaq	gɑrɯʃmɑχ
qarışqa	gɑrɯʃgɑ
qarışqa	gɑrɯʃkɑ
qarşı	gɑrʃɯ
qarşılamaq	gɑrʃɯɫɑmɑχ
qarşılıqlı	gɑrʃɯɫɯɣɫɯ
qarşısında	gɑrʃɯsɯndɑ
qaş	gɑʃ
qaşımaq	gɑʃɯmɑχ
qaşınmaq	gɑʃɯnmɑχ
qasıq	gɑsɯx
qaşıq	gɑʃɯχ
qasırğa	gɑsɯrɣa
qaşqaldaq	gɑʃgɑldɑχ
qat	gæt
qat	gɑt
qatı	gɑtɯ
qatıq	gɑtɯχ
qatışıq	gɑtɯʃɯχ
qax	gɑx
qaya	gɑjɑ
qayçı	gɑjtʃɯ
qayçı	gejtsi
qayda	gɑjdɑ
qaydasında	gɑjdɑsɯndɑ
qayğı	gɑjɣɯ
qayğıkeş	gɑjɣɯkeʃ
qayıdış	gɑjɯdɯʃ
qayınana	gɑjɯnɑnɑ
qayınata	gɑjɯnɑtɑ
qayırmaq	gɑjɯrmɑχ
qayırmaq	geːɾmɑχ
qayırmaq	gejiɾmɑχ
qayırmaq	ɣɑːrmɑχ
qayıtmaq	gɑjɯtmɑχ
qayıtmaq	geːtmɑχ
qayıtmaq	gejitmɑχ
qaynamaq	gɑjnɑmɑχ
qaynatmaq	gɑjnɑtmɑχ
qaytarmaq	gɑjtɑrmɑχ
qaytarmaq	gejtærmɑχ
qazanc	gɑzɑndz
qazanc	gɑzɑndʒ
qazanılmaq	gɑzɑnɯɫmɑx
qazanılmış	gɑzɑnɯɫmɯʃ
qazanmaq	gɑzɑmːɑχ
qazanmaq	gɑzɑnmɑχ
qaz	gɑz
qazıntı	gɑzɯntɯ
qazmaq	gɑzmɑχ
qeyri	gejri
qəbir	gæbir
qəbiristan	gæbristɑn
qədər	gædæɾ
qədər	χædær
qədim	gædim
qəfəs	gæfæs
qəhbə	gæhbæ
qəhbə	gæhpæ
qəhbəlik	gæhbælij
qəhbəlik	gæhbælik
qəhbəlik	gæhpælij
qəhbəlik	gæhpælik
qəhrəman	gæhræmɑn
qəhrəmanlıq	gæhræmɑnɫɯχ
qəhvə	gæhvæ
qəlbən	gæɫbæn
qəlb	gælb
qələbə	gælæbæ
qəliz	gæliz
qəlyan	gæljɑn
qəməngiz	gæmæŋɟiz
qənd	gænd
qənirsiz	gænirsiz
qəpik	gæpiç
qəpik	gæpih
qəpik	gæpij
qəpik	gæpik
qərənfil	gæɾænfil
qəribə	gæriːbæ
qəssab	gæsːɑb
qətl	gætl
qətrə	gætræ
qəzet	gæzet
qəzəl	gæzæl
qiblə	giblæ
qiymət	gijmæt
qıcıqlandırmaq	gɯdzɯɣɫɑndɯrmɑχ
qıcıqlandırmaq	gɯdʒɯɣɫɑndɯrmɑχ
qıdıqlamaq	gɯdɯɣɫɑmɑχ
qıf	gɯf
qıfılçı	gɯfɯɫtsɯ
qıfılçı	gɯfɯɫtʃɯ
qıfıl	gɯfɯɫ
qıfıllı	gɯfɯɫːɯ
qığılcım	gɯɣɯɫdzɯm
qığılcım	gɯɣɯɫdʒɯm
qığlamaq	gɯɣɫɑmɑχ
qıjı	gɯʒɯ
qılınmaq	gɯɫɯmːɑχ
qılınmaq	gɯɫɯnmɑχ
qılmaq	gɯɫmɑχ
qınamaq	gɯnɑmɑχ
qınaq	gɯnɑχ
qırağı	gɯrɑɣɯ
qıraq	gɯrɑχ
qıraqlar	gɯrɑɣɫɑr
qırğın	gɯrɣɯn
qır	gɯr
qırmaq	gɯrmɑχ
qırmızı	gɯrmɯzɯ
qırmızı	ɣɯrmɯzɯ
qırpmaq	gɯrpmɑχ
qırxayaq	gɯrχɑjɑχ
qırxmaq	gɯrχmɑχ
qısa	gɯsɑ
qış	gɯʃ
qışlaq	gɯʃlɑχ
qışlaq	gɯʃtɑχ
qışqırmaq	gɯʃgɯrmɑχ
qışqırmaq	kɯʃkɯrmɑχ
qıt	gɯt
qıvrım	gɯvrɯm
qıymaq	gɯjmɑχ
qızdırmaq	gɯzdɯrmaχ
qızılbalıq	gɯzɯɫbɑɫɯχ
qızılqaz	gɯzɯɫgɑz
qızılquş	gɯzɯɫguʃ
qızışmaq	gɯzɯʃmɑχ
qızlıq	gɯzdɯχ
qızlıq	gɯzɫɯχ
qızmaq	gɯzmɑχ
qoboy	goboj
qoca	godzɑ
qoca	godʒɑ
qocalıq	godzɑɫɯχ
qocalıq	godʒɑɫɯχ
qohum	gohum
qohumluq	gohumɫuχ
qolac	goɫɑdz
qolac	goɫɑdʒ
qol	goɫ
qoltuq	goɫtuχ
qonaq	gonɑχ
qonaqlıq	gonɑɣɫɯɣ
qonaqlıq	gonɑɣɫɯχ
qonaqpərəst	gonɑχpæræst
qonaqpərvər	gonɑχpærvær
qonşu	gonʃu
qoparmaq	gopɑrmɑx
qopmaq	gopmɑχ
qor	gor
qorumaq	gorumɑχ
qoruqçu	goruχtsu
qoruqçu	goruχtʃu
qorxaq	gorχɑχ
qorxaqlıq	gorχɑɣɫɯχ
qorxmaq	gorxmɑx
qorxmaz	gorχmɑz
qorxu	gorχu
qorxutmaq	gorχutmɑχ
qoşmaq	goʃmaχ
qoşulmaq	goʃuɫmaχ
qoşun	goʃun
qovmaq	govmɑχ
qövm	gœvm
qovulma	govuɫma
qovulmaq	govuɫmaχ
qovun	gohun
qovun	govun
qoydurmaq	gojdurmɑχ
qoymaq	gojmɑχ
qoz	goz
qrip	grip
qucaq	gudzɑx
qucaq	gudʒɑx
qucaqlamaq	gudzaɣɫɑmɑχ
qucaqlamaq	gudʒaɣɫɑmɑχ
qucaqlaşmaq	gudzaɣɫɑʃmɑχ
qucaqlaşmaq	gudʒaɣɫɑʃmɑχ
quduzluq	guduzɫuχ
qu	gu
